Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran,total
2020-01-23,95,0,0,0,0,0,0,0,95
2020-01-24,277,1,0,0,2,0,0,0,280
2020-01-25,486,0,0,0,1,0,0,0,487
2020-01-26,669,3,0,0,0,0,0,0,672
2020-01-27,802,0,0,0,0,1,0,0,803
2020-01-28,2632,0,0,0,1,3,0,0,2636
2020-01-29,578,1,0,0,1,0,0,0,580
2020-01-30,2054,0,0,0,0,0,0,0,2054
2020-01-31,1661,2,2,2,0,1,0,0,1668
2020-02-01,2089,0,0,0,1,3,1,0,2094
2020-02-02,4739,0,0,0,0,2,0,0,4741
2020-02-03,3086,3,6,0,0,2,0,0,3097
2020-02-04,3991,0,0,0,0,0,0,0,3991
2020-02-05,3733,0,1,0,0,0,0,0,3734
2020-02-06,3147,1,0,0,0,0,0,0,3148
2020-02-07,3523,0,0,1,0,1,0,0,3525
2020-02-08,2704,0,4,0,5,0,0,0,2713
2020-02-09,3015,0,1,0,0,1,1,0,3018
2020-02-10,2525,0,0,0,0,0,0,0,2525
2020-02-11,2032,1,1,0,0,2,0,0,2036
2020-02-12,373,0,1,0,0,0,0,0,374
2020-02-13,15136,1,1,0,0,0,0,0,15138
2020-02-14,6463,0,1,0,0,0,0,0,6464
2020-02-15,2055,0,0,0,1,0,0,0,2056
2020-02-16,2100,0,0,0,0,0,0,0,2100
2020-02-17,1921,0,1,0,0,0,0,0,1922
2020-02-18,1777,0,0,0,0,0,0,0,1777
2020-02-19,408,0,1,0,0,0,0,2,411
2020-02-20,458,0,2,0,0,0,0,3,463
2020-02-21,473,2,1,17,0,0,0,13,506
2020-02-22,1451,0,0,42,0,0,0,10,1503
2020-02-23,21,0,5,93,0,0,0,15,134
2020-02-24,219,0,2,74,0,0,0,18,313
2020-02-25,513,0,4,93,2,1,4,34,651
2020-02-26,412,0,3,131,4,10,7,44,611
2020-02-27,434,1,7,202,20,19,2,106,791
2020-02-28,328,0,12,233,19,2,17,143,754
2020-02-29,428,8,5,240,43,31,13,205,973
2020-03-01,576,7,33,566,30,51,39,385,1687
2020-03-02,204,23,40,342,61,29,36,523,1258
2020-03-03,125,19,55,466,21,37,45,835,1603
2020-03-04,125,33,57,587,76,66,57,586,1587
2020-03-05,151,77,49,769,138,220,37,591,2032
2020-03-06,153,53,79,778,190,188,141,1234,2816
2020-03-07,80,166,55,1247,332,129,100,1076,3185
2020-03-08,53,116,54,1492,177,241,173,743,3049
2020-03-09,37,75,147,1797,286,136,400,595,3473
2020-03-10,27,188,259,977,372,281,622,881,3607
2020-03-11,34,365,412,2313,510,451,582,958,5625
2020-03-12,11,439,489,2651,0,170,0,1075,4835
2020-03-13,13,633,480,2547,1388,1597,2955,1289,10902
2020-03-14,32,759,364,3497,815,910,1159,1365,8901
2020-03-15,26,234,443,3590,36,1210,1407,1209,8155
2020-03-16,30,1467,615,3233,2151,1477,2144,1053,12170
2020-03-17,25,1833,770,3526,1032,1985,1806,1178,12155
2020-03-18,44,2657,1006,4207,1409,3070,2162,1192,15747
2020-03-19,54,4494,1066,5322,1846,2993,4053,1046,20874
2020-03-20,94,6367,1258,5986,1788,4528,2447,1237,23705
2020-03-21,55,5995,1215,6557,1705,2365,4964,966,23822
2020-03-22,130,8919,1388,5560,2298,2660,3394,1028,25377
2020-03-23,63,11152,2349,4789,3359,4183,6368,1411,33674
2020-03-24,93,10618,2382,5249,2252,3930,4749,1762,31035
2020-03-25,70,12127,2717,5210,2959,4337,9630,2206,39256
2020-03-26,121,17821,3127,6203,3921,6615,8271,2389,48468
2020-03-27,115,18591,3249,5909,3793,6933,7933,2926,49449
2020-03-28,102,22164,2843,5974,4648,6824,7516,3076,53147
2020-03-29,123,16127,2892,5217,2603,4400,6875,2901,41138
2020-03-30,76,22154,4327,4050,4349,4790,7846,3186,50778
2020-03-31,81,26381,4534,4053,7636,4923,7967,3110,58685
2020-04-01,82,31452,4974,4782,4844,6064,8195,2988,63381
2020-04-02,71,32088,4929,4668,2102,6922,7947,2875,61602
2020-04-03,79,32204,4981,4585,5225,6365,7134,2715,63288
2020-04-04,32,31891,4073,4805,0,4933,6969,2560,55263
2020-04-05,59,29242,3650,4316,849,4031,5478,2483,50108
2020-04-06,63,31729,5316,3599,2659,3251,5029,2274,53920
2020-04-07,53,30065,5486,3039,0,4289,5267,2089,50288
2020-04-08,91,31078,5163,3836,3855,5633,6278,1997,57931
2020-04-09,74,35611,4906,4204,3784,4885,5002,1634,60100
2020-04-10,58,34339,4367,3951,1566,3990,5051,1972,55294
2020-04-11,73,28873,3613,4694,1445,2737,4754,1837,48026
2020-04-12,120,26451,3539,4092,50747,2946,3804,1657,93356
2020-04-13,79,27041,4205,3153,3141,2218,3268,1617,44722
2020-04-14,93,28349,4348,2972,17448,1287,2442,1574,58513
2020-04-15,50,25630,5100,2667,3207,3394,5103,1512,46663
2020-04-16,47,29669,5343,3786,12578,2945,7304,1606,63278
2020-04-17,357,32794,4990,3493,1891,3699,5891,1499,54614
2020-04-18,27,27560,4736,3491,3804,1945,887,1374,43824
2020-04-19,18,25641,3860,3047,1094,1842,6948,1343,43793
2020-04-20,12,30026,4866,2256,2447,1881,1536,1294,44318
2020-04-21,36,25927,4775,2729,2666,1226,3968,1297,42624
2020-04-22,15,29386,5505,3370,1799,2357,4211,1194,47837
2020-04-23,16,32377,5168,2646,0,2481,4635,1030,48353
2020-04-24,15,31942,4981,3021,2811,1870,0,1168,45808
2020-04-25,10,31065,3764,2357,1678,1514,2915,1134,44437
2020-04-26,3,26139,3473,2324,633,1257,1729,1153,36711
2020-04-27,6,24629,4704,1739,3686,988,1831,991,38574
2020-04-28,22,24441,4727,2091,3132,1154,1308,1112,37987
2020-04-29,4,26605,5450,2086,0,1627,2144,1073,38989
2020-04-30,12,29061,4964,1872,1218,1470,518,983,40098
2020-05-01,3,35273,4730,1965,526,1068,1781,1006,46352
2020-05-02,0,27304,3230,1900,792,890,1366,802,36284
2020-05-03,5,23883,2977,1389,361,697,884,976,31172
2020-05-04,2,23880,3383,1221,562,488,545,1223,31304
2020-05-05,2,23933,3689,1075,1117,855,1318,1323,33312
2020-05-06,2,24479,3836,1444,4136,1155,996,1680,37728
2020-05-07,5,27500,3771,1401,741,1268,1122,1485,37293
2020-05-08,1,27347,3052,1327,531,1158,1410,1556,36382
2020-05-09,14,24548,2150,1083,528,736,721,1529,31309
2020-05-10,20,18717,2322,802,249,555,772,1383,24820
2020-05-11,1,19056,3589,744,315,697,3086,1683,29171
2020-05-12,7,23228,3395,1402,753,595,594,1481,31455
2020-05-13,6,19961,3300,888,521,927,661,1958,28222
2020-05-14,5,25972,2618,992,642,380,849,1808,33266
2020-05-15,9,24881,2521,789,513,755,643,2102,32213
2020-05-16,6,24127,2072,875,415,519,515,1757,30286
2020-05-17,10,18375,1826,675,140,617,0,1806,23449
2020-05-18,9,22590,2577,451,444,182,908,2294,29455
2020-05-19,0,20551,3058,813,501,1227,431,2111,28692
2020-05-20,0,22568,2712,665,481,695,518,2346,29985
2020-05-21,0,25379,2554,642,267,548,482,2392,32264
2020-05-22,18,23911,2041,652,756,689,1787,2311,32165
2020-05-23,3,20156,1508,669,546,276,466,1869,25493
2020-05-24,11,20181,1355,531,0,342,482,2180,25082
2020-05-25,7,18923,1613,300,325,272,0,2023,23463
2020-05-26,1,18681,1659,397,255,600,859,1787,24239
2020-05-27,3,18913,1809,584,173,324,0,2080,23886
2020-05-28,0,21068,1736,593,3343,672,1647,2258,31317
2020-05-29,17,25241,1508,516,594,726,658,2819,32079
2020-05-30,5,23139,1107,416,1794,267,664,2282,29674
2020-05-31,18,18288,1070,333,232,221,251,2516,22929
2020-06-01,8,17259,1444,200,407,184,159,2979,22640
2020-06-02,7,21209,1470,318,0,285,294,3117,26700
2020-06-03,0,19299,1349,321,0,242,394,3134,24739
2020-06-04,11,28051,1238,177,4360,351,334,3574,38096
2020-06-05,6,26369,1110,518,581,452,318,2886,32240
2020-06-06,9,20340,794,270,572,526,332,2269,25112
2020-06-07,5,17742,718,197,341,300,240,2364,21907
2020-06-08,4,16922,1094,280,274,359,167,2043,21143
2020-06-09,3,20287,1159,283,553,397,249,2095,25026
2020-06-10,11,21648,1186,202,625,16,314,2011,26013
2020-06-11,7,22078,1007,379,364,169,427,2218,26649
2020-06-12,12,25786,1054,163,801,535,502,2369,31222
2020-06-13,58,24071,888,346,497,41,396,2430,28727
2020-06-14,49,19092,807,338,390,251,323,2472,23722
2020-06-15,43,20951,1031,301,136,164,181,2449,25256
2020-06-16,44,24668,1083,210,663,570,219,2563,30020
2020-06-17,36,27018,999,328,489,352,355,2612,32189
2020-06-18,36,27779,1020,331,586,1213,585,2596,34146
2020-06-19,0,31572,984,0,787,482,307,2615,36747
2020-06-20,59,31838,666,264,619,371,363,2322,36502
2020-06-21,19,25914,624,224,343,602,334,2368,30428
2020-06-22,52,29550,892,221,142,496,232,2573,34158
2020-06-23,29,38326,882,113,698,712,248,2445,43453
2020-06-24,20,36350,777,577,268,391,334,2531,41248
2020-06-25,28,39106,697,296,255,500,400,2595,43877
2020-06-26,24,49550,639,255,1263,665,419,2628,55443
2020-06-27,18,41268,634,175,448,422,564,2456,45985
2020-06-28,14,42262,407,174,0,235,301,2489,45882
2020-06-29,23,41660,620,126,645,349,200,2536,46159
2020-06-30,5,49382,404,142,442,376,301,2457,53509
2020-07-01,31,49500,63,182,990,475,388,2549,54178
2020-07-02,14,54583,6,201,539,477,444,2652,58916
2020-07-03,8,51991,502,223,539,410,442,2566,56681
2020-07-04,19,45949,625,235,358,418,0,2449,50053
2020-07-05,14,53572,519,192,12,325,0,2560,57194
2020-07-06,18,42981,359,208,1018,541,1244,2613,48982
2020-07-07,28,56563,584,137,454,279,341,2637,61023
2020-07-08,33,61044,637,193,822,356,383,2691,66159
2020-07-09,42,59381,643,214,444,302,543,2079,63648
2020-07-10,0,68780,524,276,715,331,852,2262,73740
2020-07-11,79,60735,826,188,251,377,0,2397,64853
2020-07-12,46,58821,650,234,16,210,0,2186,62163
2020-07-13,0,60998,537,169,1423,261,2045,2349,67782
2020-07-14,109,65062,1240,114,62,276,666,2521,70050
2020-07-15,20,66334,538,162,727,434,875,2388,71478
2020-07-16,81,70354,647,230,569,560,1361,2500,76302
2020-07-17,75,66653,687,231,826,595,1400,2379,72846
2020-07-18,16,64716,829,249,165,381,0,2166,68522
2020-07-19,85,59164,726,218,4,309,0,2182,62688
2020-07-20,119,61121,586,190,1911,590,4581,2414,71512
2020-07-21,86,67170,445,128,595,392,1358,2625,72799
2020-07-22,198,68072,563,280,921,559,1357,2586,74536
2020-07-23,139,67969,779,306,1236,605,2615,2621,76270
2020-07-24,157,75410,769,252,1091,742,2255,2489,83165
2020-07-25,179,62828,770,274,84,655,0,2316,67106
2020-07-26,189,56708,750,254,4,389,0,2333,60627
2020-07-27,213,60297,688,168,2488,445,6361,2434,73094
2020-07-28,207,64967,553,202,564,595,1828,2667,71583
2020-07-29,223,64740,802,288,1470,839,2031,2636,73029
2020-07-30,276,67704,847,382,1394,989,2789,2621,77002
2020-07-31,166,65955,883,379,1303,864,3092,2674,75316
2020-08-01,172,57725,769,295,62,606,0,2548,62177
2020-08-02,158,47410,747,238,3,215,0,2685,51456
2020-08-03,114,40877,942,159,3361,891,8532,2598,57474
2020-08-04,107,61762,675,190,971,717,5760,2751,72933
2020-08-05,122,54667,906,384,1708,1285,2953,2697,64722
2020-08-06,132,59636,964,401,1601,926,4088,2634,70382
2020-08-07,120,61220,900,552,2387,1157,4507,2450,73293
2020-08-08,92,63729,765,347,70,707,0,2125,67835
2020-08-09,121,54799,1113,463,6,385,0,2020,58907
2020-08-10,113,51912,818,259,4760,1220,8618,2132,69832
2020-08-11,52,56244,1150,412,1408,1032,3632,2345,66275
2020-08-12,87,55359,1039,476,2604,1319,3172,2510,66566
2020-08-13,99,51335,1148,522,2670,1422,7550,2625,67371
2020-08-14,70,70734,1461,574,2914,1510,5479,2501,85243
2020-08-15,65,51745,1042,629,3210,697,0,2245,59633
2020-08-16,96,35318,1111,477,3020,519,0,2133,42674
2020-08-17,66,37974,721,320,635,1693,16269,2247,59925
2020-08-18,53,44123,1113,401,2119,1420,5114,2385,56728
2020-08-19,33,46494,831,642,3787,1586,6671,2444,62488
2020-08-20,40,44112,1195,840,4800,1586,7039,2279,61891
2020-08-21,49,48710,1060,947,4954,1737,8148,2206,67811
2020-08-22,38,44615,1332,1071,3474,832,0,2028,53390
2020-08-23,41,32973,1048,1209,4735,633,0,2113,42752
2020-08-24,23,33840,977,953,1976,1628,19382,2245,61024
2020-08-25,34,41783,1201,876,3593,1461,7117,2213,58278
2020-08-26,32,42615,1146,1366,287,1427,7296,2243,56412
2020-08-27,30,50046,1542,1409,11226,1561,9658,2190,77662
2020-08-28,22,46922,1297,1460,7625,1555,9779,2115,70775
2020-08-29,27,43194,1110,1444,5460,709,0,1905,53849
2020-08-30,32,33610,1752,1365,5382,470,0,1754,44365
2020-08-31,19,33865,1415,996,3113,1497,23572,1642,66119
2020-09-01,19,41608,1332,975,5104,1213,8115,1682,60048
2020-09-02,20,40188,1514,1326,7087,1396,8581,1858,61970
2020-09-03,33,45227,1779,1397,7122,1429,8959,1994,67940
2020-09-04,22,48266,1978,1732,8860,1443,10476,2026,74803
2020-09-05,17,42905,1827,1694,8594,775,0,1894,57706
2020-09-06,33,30189,2987,1296,7016,670,0,1992,44183
2020-09-07,20,24862,2953,1150,4266,1898,26560,2152,63861
2020-09-08,9,26407,2481,1369,6738,1331,8964,2302,49601
2020-09-09,13,33264,2681,1430,8599,1476,8866,2313,58642
2020-09-10,27,39177,2931,1597,9762,1716,10764,2063,68037
2020-09-11,18,45038,3544,1616,9529,1586,12183,2313,75827
2020-09-12,23,45312,3504,1501,11337,1082,0,2139,64898
2020-09-13,29,40008,3338,1456,6345,920,0,2089,54185
2020-09-14,22,33445,2625,1008,6320,1485,27404,2619,74928
2020-09-15,16,36215,3115,1229,7826,1792,9437,2705,62335
2020-09-16,18,38969,4007,1452,10267,1855,11193,2981,70742
2020-09-17,41,44440,3410,1583,10239,2179,11291,2815,75998
2020-09-18,17,51171,4329,1907,13233,2199,14389,3049,90294
2020-09-19,23,44619,4429,1637,13560,1685,0,2845,68798
2020-09-20,35,42730,3899,1587,10536,1033,0,3097,62917
2020-09-21,12,32302,4378,1350,5539,1595,31428,3341,79945
2020-09-22,18,37167,4936,1391,10084,1852,10799,3712,69959
2020-09-23,10,41861,6187,1640,13232,1613,11289,3605,79437
2020-09-24,15,48421,6644,1786,15909,2321,10653,3521,89270
2020-09-25,17,47500,6878,1912,16104,2366,12272,3563,90612
2020-09-26,15,43028,6050,1869,14220,1314,0,3204,69700
2020-09-27,27,34613,5700,1766,10635,1313,0,3362,57416
2020-09-28,22,37650,4056,1494,4299,2292,31785,3512,85110
2020-09-29,23,41701,7156,1647,8005,1840,0,3677,64049
2020-09-30,17,38817,7117,1850,14366,2442,20922,3582,89113
2020-10-01,22,46301,6929,2548,13025,2626,9419,3825,84695
2020-10-02,17,53250,6994,2499,12436,2835,11325,3552,92908
2020-10-03,20,49154,12885,2843,16514,1653,0,3523,86592
2020-10-04,25,33054,22965,2578,12504,1546,0,3653,76325
2020-10-05,23,37458,12603,2257,5639,3100,23480,3902,88462
2020-10-06,15,44239,14557,2677,11310,2454,11998,4151,91401
2020-10-07,20,49359,14173,3677,18953,4010,10491,4019,104702
2020-10-08,41,57777,17550,4458,17402,4804,12423,4392,118847
2020-10-09,23,55284,13888,5372,21031,4554,12788,4142,117082
2020-10-10,27,55096,15175,5724,26677,2968,0,3875,109542
2020-10-11,34,46204,12882,5456,15994,2846,0,3822,87238
2020-10-12,18,43805,14011,4619,9212,6541,27856,4206,110268
2020-10-13,28,49579,17250,5898,13626,4464,7118,4108,102071
2020-10-14,11,57859,19751,7332,22965,7173,11970,4830,131891
2020-10-15,36,64240,18996,8803,29757,7620,13318,4616,147386
2020-10-16,20,69230,15657,10009,25634,7695,15186,4552,147983
2020-10-17,30,54857,16186,10925,32139,4862,0,4103,123102
2020-10-18,17,52220,16994,11705,29837,4007,0,3890,118670
2020-10-19,34,68637,18830,9337,14290,8397,37889,4251,161665
2020-10-20,16,61810,21365,10871,20376,8523,13873,5039,141873
2020-10-21,22,60735,26707,15199,27410,12331,16973,5616,164993
2020-10-22,29,78494,21257,16078,40813,5952,20986,5471,189080
2020-10-23,35,82548,20559,19143,42849,13476,19851,6134,204595
2020-10-24,20,77461,23033,19640,45265,10458,0,5814,181691
2020-10-25,23,61716,19797,21273,6616,9890,0,6191,125506
2020-10-26,24,64973,20900,17007,73010,12560,52188,5960,246622
2020-10-27,47,76764,22924,21989,34458,13161,18418,6968,194729
2020-10-28,49,85809,24714,24988,37550,16202,19765,6824,215901
2020-10-29,28,91447,23078,26829,46636,18733,23580,8293,238624
2020-10-30,40,99972,24418,31079,49474,19382,25595,8011,257971
2020-10-31,27,88665,21919,31756,35101,14054,0,7820,199342
2020-11-01,31,76275,23261,29905,46179,12556,0,7719,195926
2020-11-02,55,82845,18967,22253,106091,25252,55019,8289,318771
2020-11-03,26,123535,20078,28241,72601,7533,18669,8932,279615
2020-11-04,31,100623,25206,30548,0,31480,25042,8452,221382
2020-11-05,43,128379,24164,34502,57820,22561,21908,8772,298149
2020-11-06,39,124964,23322,37802,60952,22820,22516,8864,301279
2020-11-07,31,128465,24979,39809,86655,14122,0,9450,303511
2020-11-08,43,117900,20580,32614,38562,14510,0,9236,233445
2020-11-09,28,120569,21397,25269,21424,6522,52386,10463,258058
2020-11-10,26,135275,20451,35090,22613,26547,0,10339,250341
2020-11-11,33,146665,23000,32961,36406,22401,36491,11780,309737
2020-11-12,31,159292,33517,37977,32558,24738,19511,11517,319141
2020-11-13,24,178118,27316,40902,24135,22261,21371,11737,325864
2020-11-14,21,165251,26876,37249,31957,14640,0,11203,287197
2020-11-15,22,138943,24977,33977,27192,3213,0,12543,240867
2020-11-16,22,156350,21416,27352,10050,14580,38273,13053,281096
2020-11-17,13,162607,20060,32191,45603,26231,13159,13352,313216
2020-11-18,21,172207,19645,34280,28844,23727,15318,13421,307463
2020-11-19,29,192107,22936,36176,20789,24041,16233,13223,325534
2020-11-20,42,200950,20274,37239,23264,22593,15156,13260,332778
2020-11-21,60,181165,19921,34764,17670,13872,0,12931,280383
2020-11-22,79,146054,18667,28337,13130,4377,0,13053,223697
2020-11-23,95,183116,15465,22927,5062,14455,25886,12460,279466
2020-11-24,85,172643,11344,23227,9921,16370,12228,13721,259539
2020-11-25,106,180197,18261,25852,16755,32687,10222,13843,297923
2020-11-26,86,116602,17557,29001,13001,21951,12289,13961,224448
2020-11-27,98,213603,14821,28342,12774,20819,10853,14051,315361
2020-11-28,95,170330,15891,26315,12477,13845,0,13402,252355
2020-11-29,133,138012,12164,20646,9763,3197,0,12950,196865
2020-11-30,88,157393,12428,16376,4307,14221,19979,13321,238113
2020-12-01,91,195989,13497,19347,8443,24766,8257,13881,284271
2020-12-02,120,197126,16237,20709,14228,23275,9331,13621,294647
2020-12-03,108,219599,14951,23219,12787,23591,10127,13922,318304
2020-12-04,127,234672,16382,24110,11511,15970,8745,13341,324858
2020-12-05,119,223934,15579,21052,12882,26126,0,12151,311843
2020-12-06,110,178293,17372,18887,10949,10910,0,11561,248082
2020-12-07,93,196568,14774,13679,3411,5456,17681,10827,262489
2020-12-08,112,224520,12386,14837,14044,29263,0,11023,306185
2020-12-09,116,220639,16634,12755,14675,25089,9773,10223,309904
2020-12-10,127,234151,21066,16998,13872,32734,7955,10403,337306
2020-12-11,99,240458,21784,18726,13489,27217,10519,9384,341676
2020-12-12,93,222463,21554,19902,13947,21792,0,8411,308162
2020-12-13,111,191846,18541,17937,11533,14709,0,7451,262128
2020-12-14,99,212054,20377,12025,3192,6451,21309,7501,283008
2020-12-15,110,223199,18569,14839,11725,33825,10328,7704,320299
2020-12-16,89,236809,25300,17568,17720,32744,11078,7603,348911
2020-12-17,108,238982,35532,18233,18398,30179,12131,7453,361016
2020-12-18,87,250499,28560,15401,15875,32830,11815,7121,362188
2020-12-19,132,198794,27249,16305,17428,21679,0,6421,288008
2020-12-20,97,193421,36084,15102,12858,6444,0,6312,270318
2020-12-21,100,200925,33517,10869,5960,19256,22013,6151,298791
2020-12-22,78,203449,36931,13316,11861,36153,10654,6208,318650
2020-12-23,70,222520,39387,13908,14986,33758,12386,6261,343276
2020-12-24,85,211528,39149,18039,21718,26467,12662,6178,335826
2020-12-25,77,120705,32803,19037,20262,2140,0,6021,201045
2020-12-26,81,226988,34788,10405,3093,13504,0,5760,294619
2020-12-27,91,135776,32493,8937,8867,12399,0,5502,204065
2020-12-28,88,173625,41460,8581,3106,14004,24462,5908,271234
2020-12-29,77,202593,53275,11210,11494,19112,14089,6108,317958
2020-12-30,79,219911,50239,16202,26514,31941,16716,6272,367874
2020-12-31,87,312022,56029,23477,20002,23233,18047,6389,459286
2021-01-01,60,172389,53458,22210,19358,15575,0,6287,289337
2021-01-02,63,282395,57853,11825,3466,11036,0,6045,372683
2021-01-03,74,204017,55157,14245,12491,10356,0,5960,302300
2021-01-04,86,185531,58923,10798,4084,12320,30579,6073,308394
2021-01-05,64,229830,61087,15375,20833,18349,23700,6113,375351
2021-01-06,88,260228,62556,20326,25186,26663,0,6283,401330
2021-01-07,86,287874,52787,18416,21767,45333,42360,6360,474983
2021-01-08,78,304501,68192,17529,19860,19077,25456,6251,460944
2021-01-09,128,263448,60098,19976,20177,22824,0,5924,392575
2021-01-10,134,212946,55026,18625,15944,948,0,5968,309591
2021-01-11,96,203636,46275,12530,3816,11706,61422,6208,345689
2021-01-12,175,220490,45648,14242,19757,27210,25438,6408,359368
2021-01-13,180,229793,47662,15773,23932,25566,38869,6317,388092
2021-01-14,173,234461,48804,17243,21335,21343,35878,6471,385708
2021-01-15,168,247927,55885,16144,21317,8593,40197,6485,396716
2021-01-16,159,215544,41428,16310,21409,14817,0,6100,315767
2021-01-17,164,178539,38670,12544,16642,11484,0,6016,264059
2021-01-18,225,141582,37610,8825,3798,9253,84287,5806,291386
2021-01-19,159,154484,33454,10496,24023,12233,34291,5917,275057
2021-01-20,221,188540,38992,13568,26758,29003,41576,6182,344840
2021-01-21,242,191356,37977,14055,22710,8277,44357,6204,325178
2021-01-22,100,193247,40321,13633,23324,16366,42885,6332,336208
2021-01-23,161,177842,33652,13331,24093,12430,0,6180,267689
2021-01-24,200,141438,30111,11628,18436,10078,0,5945,217836
2021-01-25,155,129426,22244,8559,4301,6887,93822,6309,271703
2021-01-26,139,149850,20167,10584,22142,9387,36435,6420,255124
2021-01-27,114,156142,25369,15191,26951,15636,40285,6608,286296
2021-01-28,91,164602,28811,14360,23808,14883,34899,6527,287981
2021-01-29,102,166998,29145,13563,23235,12831,38118,6573,290565
2021-01-30,120,149717,23400,12713,24045,17518,0,6317,233830
2021-01-31,95,113831,21190,11249,19336,748,0,6268,172717
2021-02-01,64,124888,18668,7925,4388,6668,79686,6597,248884
2021-02-02,50,117853,16906,9651,23337,7690,29064,6820,211371
2021-02-03,49,122875,19215,13182,26406,12487,31596,6870,232680
2021-02-04,42,125311,20734,13656,20,13032,29960,7040,209795
2021-02-05,50,131566,19204,14213,45607,10835,28565,7054,257094
2021-02-06,30,116343,18363,13439,20588,8632,0,6990,184385
2021-02-07,41,90479,15904,11640,19715,6670,0,7065,151514
2021-02-08,46,82772,14138,7969,4343,4650,47095,7321,168334
